distribution;sample_credible_set
Height (LogNormal), Ratios (TreeDirichletDist);0.5905
Height (LogNormal), Ratios (TreeDirichletDist);0.8654
Height (LogNormal), Ratios (TreeDirichletDist);0.035499999999999976
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.2299
Height (LogNormal), Ratios (TreeDirichletDist);0.47409999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.351
Height (LogNormal), Ratios (TreeDirichletDist);0.9908
Height (LogNormal), Ratios (TreeDirichletDist);0.33540000000000003
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.10599999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.26739999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.29590000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.4012
Height (LogNormal), Ratios (TreeDirichletDist);0.9994
Height (LogNormal), Ratios (TreeDirichletDist);0.5255000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.26759999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.36140000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.023800000000000043
Height (LogNormal), Ratios (TreeDirichletDist);0.04720000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.40190000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.22309999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.6786
Height (LogNormal), Ratios (TreeDirichletDist);0.3889
Height (LogNormal), Ratios (TreeDirichletDist);0.24119999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.5906
Height (LogNormal), Ratios (TreeDirichletDist);0.05689999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.6295
Height (LogNormal), Ratios (TreeDirichletDist);0.3801
Height (LogNormal), Ratios (TreeDirichletDist);0.3236
Height (LogNormal), Ratios (TreeDirichletDist);0.4062
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.6053999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.06340000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.30720000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.6219
Height (LogNormal), Ratios (TreeDirichletDist);0.4619
Height (LogNormal), Ratios (TreeDirichletDist);0.28559999999999997
