distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.6740999999999999
Height (LogNormal), Ratios (LogitNormal);0.9029
Height (LogNormal), Ratios (LogitNormal);0.9916
Height (LogNormal), Ratios (LogitNormal);0.8542
Height (LogNormal), Ratios (LogitNormal);0.6947
Height (LogNormal), Ratios (LogitNormal);0.639
Height (LogNormal), Ratios (LogitNormal);0.9819
Height (LogNormal), Ratios (LogitNormal);0.5707
Height (LogNormal), Ratios (LogitNormal);0.43379999999999996
Height (LogNormal), Ratios (LogitNormal);0.8485
Height (LogNormal), Ratios (LogitNormal);0.8374
Height (LogNormal), Ratios (LogitNormal);0.1965
Height (LogNormal), Ratios (LogitNormal);0.6886
Height (LogNormal), Ratios (LogitNormal);0.32289999999999996
Height (LogNormal), Ratios (LogitNormal);0.6265000000000001
Height (LogNormal), Ratios (LogitNormal);0.4607
Height (LogNormal), Ratios (LogitNormal);0.39470000000000005
Height (LogNormal), Ratios (LogitNormal);0.28779999999999994
Height (LogNormal), Ratios (LogitNormal);0.493
Height (LogNormal), Ratios (LogitNormal);0.7972
Height (LogNormal), Ratios (LogitNormal);0.7076
Height (LogNormal), Ratios (LogitNormal);0.944
Height (LogNormal), Ratios (LogitNormal);0.8137
Height (LogNormal), Ratios (LogitNormal);0.6191
Height (LogNormal), Ratios (LogitNormal);0.23670000000000002
Height (LogNormal), Ratios (LogitNormal);0.9134
Height (LogNormal), Ratios (LogitNormal);0.4425
Height (LogNormal), Ratios (LogitNormal);0.9343
Height (LogNormal), Ratios (LogitNormal);0.5979
Height (LogNormal), Ratios (LogitNormal);0.9223
Height (LogNormal), Ratios (LogitNormal);0.9089
Height (LogNormal), Ratios (LogitNormal);0.9222
Height (LogNormal), Ratios (LogitNormal);0.3872
Height (LogNormal), Ratios (LogitNormal);0.35150000000000003
Height (LogNormal), Ratios (LogitNormal);0.45289999999999997
Height (LogNormal), Ratios (LogitNormal);0.7525
Height (LogNormal), Ratios (LogitNormal);0.3479
Height (LogNormal), Ratios (LogitNormal);0.7224999999999999
Height (LogNormal), Ratios (LogitNormal);0.31610000000000005
Height (LogNormal), Ratios (LogitNormal);0.9643
Height (LogNormal), Ratios (LogitNormal);0.3062
Height (LogNormal), Ratios (LogitNormal);0.3556
Height (LogNormal), Ratios (LogitNormal);0.2791
Height (LogNormal), Ratios (LogitNormal);0.10640000000000005
Height (LogNormal), Ratios (LogitNormal);0.5974999999999999
Height (LogNormal), Ratios (LogitNormal);0.8101
