distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.42400000000000004
Height (LogNormal), Ratios (LogitNormal);0.7177
Height (LogNormal), Ratios (LogitNormal);0.6537
Height (LogNormal), Ratios (LogitNormal);0.11080000000000001
Height (LogNormal), Ratios (LogitNormal);0.4235
Height (LogNormal), Ratios (LogitNormal);0.13759999999999994
Height (LogNormal), Ratios (LogitNormal);0.6485000000000001
Height (LogNormal), Ratios (LogitNormal);0.2812
Height (LogNormal), Ratios (LogitNormal);0.02639999999999998
Height (LogNormal), Ratios (LogitNormal);0.27769999999999995
Height (LogNormal), Ratios (LogitNormal);0.7139
Height (LogNormal), Ratios (LogitNormal);0.27990000000000004
Height (LogNormal), Ratios (LogitNormal);0.847
Height (LogNormal), Ratios (LogitNormal);0.22240000000000004
Height (LogNormal), Ratios (LogitNormal);0.13319999999999999
Height (LogNormal), Ratios (LogitNormal);0.5041
Height (LogNormal), Ratios (LogitNormal);0.4445
Height (LogNormal), Ratios (LogitNormal);0.7549
Height (LogNormal), Ratios (LogitNormal);0.2551
Height (LogNormal), Ratios (LogitNormal);0.9536
Height (LogNormal), Ratios (LogitNormal);0.24009999999999998
Height (LogNormal), Ratios (LogitNormal);0.4454
Height (LogNormal), Ratios (LogitNormal);0.08750000000000002
Height (LogNormal), Ratios (LogitNormal);0.9432
Height (LogNormal), Ratios (LogitNormal);0.07250000000000001
Height (LogNormal), Ratios (LogitNormal);0.37339999999999995
Height (LogNormal), Ratios (LogitNormal);0.3418
Height (LogNormal), Ratios (LogitNormal);0.060699999999999976
Height (LogNormal), Ratios (LogitNormal);0.34950000000000003
Height (LogNormal), Ratios (LogitNormal);0.8535
Height (LogNormal), Ratios (LogitNormal);0.6034999999999999
Height (LogNormal), Ratios (LogitNormal);0.38049999999999995
Height (LogNormal), Ratios (LogitNormal);0.45030000000000003
Height (LogNormal), Ratios (LogitNormal);0.36160000000000003
Height (LogNormal), Ratios (LogitNormal);0.42079999999999995
Height (LogNormal), Ratios (LogitNormal);0.6724
Height (LogNormal), Ratios (LogitNormal);0.8422000000000001
Height (LogNormal), Ratios (LogitNormal);0.24239999999999995
Height (LogNormal), Ratios (LogitNormal);0.23319999999999996
Height (LogNormal), Ratios (LogitNormal);0.24029999999999996
Height (LogNormal), Ratios (LogitNormal);0.6547000000000001
Height (LogNormal), Ratios (LogitNormal);0.6265000000000001
Height (LogNormal), Ratios (LogitNormal);0.7202
Height (LogNormal), Ratios (LogitNormal);0.6032
Height (LogNormal), Ratios (LogitNormal);0.40590000000000004
Height (LogNormal), Ratios (LogitNormal);0.6658999999999999
Height (LogNormal), Ratios (LogitNormal);0.8665
Height (LogNormal), Ratios (LogitNormal);0.48560000000000003
Height (LogNormal), Ratios (LogitNormal);0.5138
Height (LogNormal), Ratios (LogitNormal);0.31689999999999996
Height (LogNormal), Ratios (LogitNormal);0.7664
Height (LogNormal), Ratios (LogitNormal);0.6940999999999999
Height (LogNormal), Ratios (LogitNormal);0.8853
Height (LogNormal), Ratios (LogitNormal);1.0
Height (LogNormal), Ratios (LogitNormal);0.9952
Height (LogNormal), Ratios (LogitNormal);0.7216
Height (LogNormal), Ratios (LogitNormal);0.009399999999999964
Height (LogNormal), Ratios (LogitNormal);0.3336
Height (LogNormal), Ratios (LogitNormal);0.12129999999999996
Height (LogNormal), Ratios (LogitNormal);0.38070000000000004
Height (LogNormal), Ratios (LogitNormal);0.9706
Height (LogNormal), Ratios (LogitNormal);0.033499999999999974
Height (LogNormal), Ratios (LogitNormal);0.6913
Height (LogNormal), Ratios (LogitNormal);0.6881999999999999
Height (LogNormal), Ratios (LogitNormal);0.9198
Height (LogNormal), Ratios (LogitNormal);0.29359999999999997
Height (LogNormal), Ratios (LogitNormal);0.01990000000000003
Height (LogNormal), Ratios (LogitNormal);0.3911
Height (LogNormal), Ratios (LogitNormal);0.8294
Height (LogNormal), Ratios (LogitNormal);0.47419999999999995
Height (LogNormal), Ratios (LogitNormal);0.4567
Height (LogNormal), Ratios (LogitNormal);0.9117
Height (LogNormal), Ratios (LogitNormal);0.5727
Height (LogNormal), Ratios (LogitNormal);0.23060000000000003
Height (LogNormal), Ratios (LogitNormal);0.6192
Height (LogNormal), Ratios (LogitNormal);0.6496
Height (LogNormal), Ratios (LogitNormal);0.1865
Height (LogNormal), Ratios (LogitNormal);0.6435
Height (LogNormal), Ratios (LogitNormal);0.28600000000000003
Height (LogNormal), Ratios (LogitNormal);0.17720000000000002
Height (LogNormal), Ratios (LogitNormal);0.8745
Height (LogNormal), Ratios (LogitNormal);0.28559999999999997
Height (LogNormal), Ratios (LogitNormal);0.9839
Height (LogNormal), Ratios (LogitNormal);0.09209999999999996
Height (LogNormal), Ratios (LogitNormal);0.6934
Height (LogNormal), Ratios (LogitNormal);0.7982
